primary breed,secondary breed,mixed,primary color,secondary color,age,gender,size,coat,spayed_neutered,house_trained,special_needs,shots_current,children,dogs,cats,tags,name,status,status_changed_at,published_at
Terrier,Pug,True,Brindle,Brown / Chocolate,Young,Male,Small,Short,True,True,False,True,None,True,None,[],Ruff,adopted,16/08/2020 18:21,21/07/2020 20:52
German Shepherd Dog,None,True,Black,Yellow / Tan / Blond / Fawn,Adult,Female,Medium,Medium,True,False,False,True,None,None,None,[],Delilah,adopted,31/07/2020 01:39,21/07/2020 13:17
Dogue de Bordeaux,Mixed Breed,True,Red / Chestnut / Orange,None,Adult,Male,Extra Large,None,True,False,False,True,None,None,None,"['Does well in the car', 'Food Motivated', 'House Trained', 'Moderate Energy', 'Needs Training', 'No Cats', 'Owner Experience', 'Shy timid']",Red,adoptable,21/07/2020 14:00,21/07/2020 14:00
Labrador Retriever,Black Mouth Cur,True,None,None,Young,Male,Medium,None,True,True,False,True,True,True,True,[],Louie,adopted,26/07/2020 15:50,21/07/2020 20:05
Border Collie,None,True,None,None,Adult,Male,Medium,Long,True,True,False,True,None,None,None,[],Kenny,adopted,23/07/2020 16:00,21/07/2020 17:17
Labrador Retriever,None,True,Black,None,Senior,Male,Large,Medium,True,True,False,True,True,True,True,[],Stormy,adopted,02/08/2020 21:26,21/07/2020 12:49
Mixed Breed,None,False,Black,White / Cream,Adult,Female,Medium,None,False,False,False,True,None,None,None,[],Copper,adoptable,21/07/2020 15:35,21/07/2020 15:35
Australian Shepherd,None,True,None,None,Adult,Male,Large,None,True,True,False,True,None,True,False,[],Christian,adopted,21/07/2020 12:53,21/07/2020 12:53
Chihuahua,None,True,None,None,Adult,Male,Small,None,True,True,False,True,True,True,None,[],Jasper,adopted,24/07/2020 16:36,21/07/2020 15:27
Terrier,Mixed Breed,True,None,None,Adult,Female,Small,None,True,False,False,False,None,None,None,[],Wendy Peffercorn,adoptable,21/07/2020 15:06,21/07/2020 15:06
Labrador Retriever,None,True,Black,None,Young,Female,Medium,Short,True,True,False,True,False,False,None,"['shy', 'sweet']",Cricket,adopted,26/07/2020 16:40,21/07/2020 18:01
German Shepherd Dog,None,True,None,None,Adult,Male,Medium,None,False,False,False,False,None,None,None,[],Chase,adoptable,21/07/2020 20:15,21/07/2020 20:15
Plott Hound,Black and Tan Coonhound,True,None,None,Young,Female,Medium,None,True,False,False,True,None,True,None,[],Maggie,adoptable,13/08/2020 19:08,21/07/2020 19:48
Terrier,None,True,Black,White / Cream,Young,Female,Medium,Short,True,True,False,True,True,True,None,[],Spotiana,adopted,29/07/2020 19:00,21/07/2020 19:53
American Bulldog,None,False,Golden,White / Cream,Young,Female,Large,Short,True,True,False,True,True,True,True,[],Daisy Mea,adopted,08/08/2020 15:25,21/07/2020 20:22
German Shepherd Dog,Labrador Retriever,True,None,None,Adult,Male,Large,None,True,False,False,False,True,None,None,[],Rufus,adopted,03/08/2020 12:45,21/07/2020 17:14
Mixed Breed,None,False,Bicolor,None,Adult,Female,Medium,None,True,False,False,True,None,None,None,[],Tia,adopted,22/07/2020 11:23,21/07/2020 12:31
Terrier,None,True,Brindle,White / Cream,Young,Male,Small,Short,True,False,False,True,True,None,None,[],Flounder,adopted,26/07/2020 04:09,21/07/2020 13:35
Schipperke,Staffordshire Bull Terrier,True,Black,White / Cream,Young,Female,Medium,Short,True,False,False,True,None,None,True,[],Paris,adopted,09/08/2020 14:18,21/07/2020 15:54
Labrador Retriever,None,True,Yellow / Tan / Blond / Fawn,None,Young,Male,Large,Short,True,False,False,False,None,None,None,[],Zeke,adopted,28/07/2020 19:56,21/07/2020 17:45
German Shepherd Dog,Australian Shepherd,True,Black,Yellow / Tan / Blond / Fawn,Adult,Male,Medium,Short,True,False,False,True,None,True,None,[],RONIN,adopted,24/07/2020 13:44,21/07/2020 20:23
Terrier,None,True,None,None,Young,Male,Small,None,False,False,False,False,None,None,None,[],Stevie,adopted,21/07/2020 20:32,21/07/2020 20:32
Terrier,None,False,Brindle,White / Cream,Adult,Male,Medium,None,True,False,False,True,None,None,None,"['Good with Kids', 'Good with People']",Stormy,adoptable,21/07/2020 19:55,21/07/2020 19:55
Poodle,Bichon Frise,True,None,None,Young,Female,Small,None,True,True,False,True,True,True,None,[],Lille,adopted,21/07/2020 17:13,21/07/2020 17:13
Pit Bull Terrier,None,False,None,None,Young,Male,Large,None,True,False,False,False,None,None,None,[],MURRAY,adoptable,21/07/2020 13:50,21/07/2020 13:50
Labrador Retriever,None,True,None,None,Baby,Female,Large,Short,False,False,False,True,True,True,True,[],Nadine,adopted,29/07/2020 22:51,21/07/2020 17:31
Labrador Retriever,Redbone Coonhound,True,Black,Red / Chestnut / Orange,Baby,Female,Medium,Short,True,False,False,True,True,True,True,[],Penelope- Sweet Puppy Breath,adopted,25/07/2020 17:54,21/07/2020 19:18
Bloodhound,Shepherd,True,None,None,Adult,Female,Large,None,True,True,False,True,True,True,None,[],Sunny,adopted,25/07/2020 14:38,21/07/2020 15:11
Husky,Hound,True,None,None,Adult,Female,Medium,None,True,True,False,True,True,True,None,[],Mia (husky),adopted,21/07/2020 11:20,21/07/2020 11:20
Dachshund,None,False,None,None,Young,Male,Medium,None,False,False,False,False,None,None,None,[],Mike,adopted,21/07/2020 20:15,21/07/2020 20:15
